Partition,Scores,Pessimistic Core
"[[1, 2, 3, 4, 5, 6, 7, 8, 9]]","[36, 36, 36, 36, 36, 36, 36, 36, 36]",Yes
"[[1], [2, 3, 4, 5, 6, 7, 8, 9]]","[9, 72, 72, 72, 72, 72, 72, 72, 72]",No
"[[1, 2], [3, 4, 5, 6, 7, 8, 9]]","[18, 18, 63, 63, 63, 63, 63, 63, 63]",Yes
"[[1], [2], [3, 4, 5, 6, 7, 8, 9]]","[16, 16, 112, 112, 112, 112, 112, 112, 112]",No
"[[1, 2, 3], [4, 5, 6, 7, 8, 9]]","[27, 27, 27, 54, 54, 54, 54, 54, 54]",Yes
"[[1], [2, 3], [4, 5, 6, 7, 8, 9]]","[16, 32, 32, 96, 96, 96, 96, 96, 96]",Yes
"[[1], [2], [3], [4, 5, 6, 7, 8, 9]]","[25, 25, 25, 150, 150, 150, 150, 150, 150]",No
"[[1, 2, 3, 4], [5, 6, 7, 8, 9]]","[36, 36, 36, 36, 45, 45, 45, 45, 45]",Yes
"[[1], [2, 3, 4], [5, 6, 7, 8, 9]]","[16, 48, 48, 48, 80, 80, 80, 80, 80]",Yes
"[[1, 2], [3, 4], [5, 6, 7, 8, 9]]","[32, 32, 32, 32, 80, 80, 80, 80, 80]",Yes
"[[1], [2], [3, 4], [5, 6, 7, 8, 9]]","[25, 25, 50, 50, 125, 125, 125, 125, 125]",No
"[[1], [2], [3], [4], [5, 6, 7, 8, 9]]","[36, 36, 36, 36, 180, 180, 180, 180, 180]",No
"[[1], [2, 3, 4, 5], [6, 7, 8, 9]]","[16, 64, 64, 64, 64, 64, 64, 64, 64]",Yes
"[[1, 2], [3, 4, 5], [6, 7, 8, 9]]","[32, 32, 48, 48, 48, 64, 64, 64, 64]",Yes
"[[1], [2], [3, 4, 5], [6, 7, 8, 9]]","[25, 25, 75, 75, 75, 100, 100, 100, 100]",No
"[[1], [2, 3], [4, 5], [6, 7, 8, 9]]","[25, 50, 50, 50, 50, 100, 100, 100, 100]",Yes
"[[1], [2], [3], [4, 5], [6, 7, 8, 9]]","[36, 36, 36, 72, 72, 144, 144, 144, 144]",No
"[[1], [2], [3], [4], [5], [6, 7, 8, 9]]","[49, 49, 49, 49, 49, 196, 196, 196, 196]",No
"[[1, 2, 3], [4, 5, 6], [7, 8, 9]]","[48, 48, 48, 48, 48, 48, 48, 48, 48]",No
"[[1], [2, 3], [4, 5, 6], [7, 8, 9]]","[25, 50, 50, 75, 75, 75, 75, 75, 75]",Yes
"[[1], [2], [3], [4, 5, 6], [7, 8, 9]]","[36, 36, 36, 108, 108, 108, 108, 108, 108]",No
"[[1, 2], [3, 4], [5, 6], [7, 8, 9]]","[50, 50, 50, 50, 50, 50, 75, 75, 75]",No
"[[1], [2], [3, 4], [5, 6], [7, 8, 9]]","[36, 36, 72, 72, 72, 72, 108, 108, 108]",No
"[[1], [2], [3], [4], [5, 6], [7, 8, 9]]","[49, 49, 49, 49, 98, 98, 147, 147, 147]",No
"[[1], [2], [3], [4], [5], [6], [7, 8, 9]]","[64, 64, 64, 64, 64, 64, 192, 192, 192]",No
"[[1], [2, 3], [4, 5], [6, 7], [8, 9]]","[36, 72, 72, 72, 72, 72, 72, 72, 72]",No
"[[1], [2], [3], [4, 5], [6, 7], [8, 9]]","[49, 49, 49, 98, 98, 98, 98, 98, 98]",No
"[[1], [2], [3], [4], [5], [6, 7], [8, 9]]","[64, 64, 64, 64, 64, 128, 128, 128, 128]",No
"[[1], [2], [3], [4], [5], [6], [7], [8, 9]]","[81, 81, 81, 81, 81, 81, 81, 162, 162]",No
"[[1], [2], [3], [4], [5], [6], [7], [8], [9]]","[100, 100, 100, 100, 100, 100, 100, 100, 100]",No
